Sequence_ID	KAN4049539.1	KAN4049538.1	KAN4049537.1	KAN4049536.1	KAN4028371.1	KAN4028370.1	KAN4028369.1	KAN4028368.1	KAN4028367.1	KAN4028366.1	KAN4028365.1	KAN4028364.1	KAN4020167.1	KAN4019825.1	KAN4019824.1	KAN3988656.1	KAN3988622.1	KAN3988621.1	KAN3988620.1	KAN3937019.1	KAN3909434.1	KAN3898344.1	KAN3815460.1	KAN3796834.1	KAN3796733.1	KAN3276177.1	KAN3244679.1	KAN3244455.1	KAN1728004.1	KAN1727817.1	XP_081252512.1	XP_081251926.1	XP_081251925.1	XP_081279448.1	XP_081279447.1	XP_081279446.1	XP_081279445.1	XP_081279444.1	XP_080421443.1	XP_080457172.1	XP_080489744.1	XP_080489380.1	XP_080478064.1	XP_080478071.1	XP_080478070.1	XP_080478069.1	XP_080478068.1	XP_080478067.1	XP_080478066.1	XP_080478065.1	XP_080478063.1	XP_080226139.1	XP_080226138.1	XP_080225761.1	XP_080225760.1	XP_080255093.1	XP_080255092.1	XP_080216133.1	XP_080215990.1	XP_080202477.1	XP_079403352.1	XP_079395065.1	XP_079184151.1	XP_079167338.1	XP_079167337.1	XP_079167336.1	XP_079167335.1	XP_079167334.1	XP_079054589.1	XP_079054588.1	XP_079054587.1	XP_079064106.1	XP_079064077.1	KAM9657203.1	KAM9656907.1	KAM9656906.1	KAM9629049.1	KAM9629048.1	KAM9629047.1	KAM9629046.1	KAM9629045.1	KAM9629044.1	KAM9549035.1	KAM9549034.1	KAM9549033.1	KAM9549032.1	KAM9549031.1	KAM9549030.1	KAM9549029.1	KAM9520985.1	KAM9520627.1	KAM9380728.1	KAM9368738.1	KAM9287290.1	KAM9284415.1	KAM9267304.1	KAM9267244.1	KAM9255269.1	KAM9255060.1	KAM9236084.1	KAM9215082.1	KAM9188857.1	KAM9174645.1	KAM9010565.1	KAM9010564.1	KAM9010563.1	KAM9010562.1	KAM9010561.1	KAM9010560.1	KAM9010559.1	KAM9010558.1	KAM9010557.1	KAM8988953.1	KAM8988543.1	KAM8806775.1	KAM8795385.1	KAM8795200.1	KAM7097051.1	KAM7097050.1	KAM7097049.1	KAM7082031.1	KAM7074423.1	KAM7048750.1	KAM7048749.1	KAM7048748.1	KAM7048747.1	KAM7048746.1	KAM7048745.1	KAM7048744.1	KAM7029977.1	KAM7029976.1	KAM7029824.1	KAM7017246.1	KAM6993681.1	KAM6993576.1	KAM6421179.1	KAM6421178.1	KAM6421177.1	KAM6399256.1	KAM6397452.1	KAM6397451.1	KAM6368541.1	KAM6348312.1	KAM6334097.1	KAM6334096.1	KAM6334095.1	KAM6334094.1	KAM6333948.1	KAM6332697.1	KAM6332696.1	KAM6312410.1	KAM6312155.1	KAM6307105.1	KAM6295428.1	KAM6295375.1	KAM6268683.1	KAM6268682.1	KAM6268681.1	KAM6260583.1	KAM6238621.1	KAM6234076.1	KAM6234075.1	KAM6234074.1	KAM6234073.1	KAM6234072.1	KAM6200806.1	KAM6189981.1	KAM6189741.1	KAM6131972.1	KAM6129456.1	KAM6114929.1	KAM6107986.1	KAM6107800.1	KAM6079057.1	KAM6079056.1	KAM6079055.1	KAM6071054.1	KAM6071053.1	KAM6042744.1	KAM6042490.1	KAM6042489.1	KAM6042488.1	KAM6042305.1	KAM6042101.1	KAM4897387.1	KAM4884552.1	KAM4884515.1	KAM4776468.1	KAM4756934.1	KAM4756933.1	KAM4756552.1	KAM4669087.1	KAM4669086.1	KAM4669085.1	KAM4645386.1	KAM4645123.1	XP_021390439.2	XP_021390438.2	XP_021390437.2	XP_077644499.1
XP_080225761.1	33.70	33.70	33.13	33.13	36.33	36.33	36.18	34.63	33.09	34.43	34.43	33.74	33.13	88.86	88.89	34.04	55.65	55.65	54.78	34.04	33.13	81.52	33.74	34.04	68.34	33.43	32.84	76.25	83.58	34.04	33.13	82.99	81.87	34.78	32.14	32.14	34.07	33.43	33.73	33.74	34.34	63.75	35.60	32.84	35.16	35.16	35.16	35.16	35.16	33.33	34.04	33.73	33.53	100.00	100.00	34.43	32.55	71.98	34.64	33.74	32.53	33.13	33.33	37.74	34.43	34.43	32.99	33.74	34.07	32.99	33.13	78.30	33.43	33.43	88.56	88.60	33.70	33.70	31.70	33.13	29.79	29.79	35.16	35.16	35.16	35.16	35.16	35.16	34.04	60.86	34.34	33.74	32.53	33.43	33.43	83.87	33.73	34.04	87.68	33.43	33.13	33.43	33.43	35.16	35.16	35.16	35.16	35.16	35.16	35.16	35.16	34.04	34.34	61.16	32.83	68.75	34.55	33.22	33.43	28.61	33.73	86.51	35.77	34.24	34.43	34.43	34.43	32.99	33.74	33.43	33.23	56.94	34.04	55.14	34.23	34.43	32.99	33.74	34.04	35.58	33.13	34.04	33.74	59.68	76.79	85.59	58.20	33.43	34.07	33.43	79.47	33.73	33.43	73.90	34.04	34.07	32.99	33.43	33.43	32.83	34.04	34.04	34.04	32.82	32.98	33.43	33.73	85.63	33.43	33.43	34.34	34.64	83.28	34.07	34.07	33.43	34.07	33.43	84.75	35.17	34.04	32.86	32.83	81.82	33.74	57.68	33.13	33.13	59.42	33.91	34.04	34.80	34.80	33.74	61.03	34.04	34.43	34.43	33.74	56.52
XP_080225760.1	33.70	33.70	33.13	33.13	36.33	36.33	36.18	34.63	33.09	34.43	34.43	33.74	33.13	88.86	87.78	34.04	55.65	55.65	54.78	34.04	33.13	81.52	33.74	34.04	68.34	33.43	32.84	76.25	83.58	34.04	33.13	82.99	81.87	34.78	32.14	32.14	34.07	33.43	33.73	33.74	34.34	63.75	35.60	32.84	35.16	35.16	35.16	35.16	35.16	33.33	34.04	33.73	33.14	100.00	100.00	34.43	32.55	71.98	34.64	33.74	32.53	33.13	33.33	37.74	34.43	34.43	32.99	33.74	34.07	32.99	33.13	78.30	33.43	33.43	88.56	87.50	33.70	33.70	31.70	33.13	29.79	29.79	35.16	35.16	35.16	35.16	35.16	35.16	34.04	60.86	34.34	33.74	32.53	33.43	33.43	83.87	33.73	34.04	87.68	33.43	33.13	33.43	33.43	35.16	35.16	35.16	35.16	35.16	35.16	35.16	35.16	34.04	34.34	61.16	32.83	68.75	34.55	33.22	33.43	28.61	33.73	86.51	35.77	34.24	34.43	34.43	34.43	32.99	33.74	33.43	33.14	56.94	34.04	55.14	34.23	34.43	32.99	33.74	34.04	35.58	33.13	34.04	33.74	59.24	74.79	85.59	57.80	33.43	34.07	33.43	79.47	33.73	33.43	73.90	34.04	34.07	32.99	33.43	33.43	32.83	34.04	34.04	34.04	32.59	32.76	33.43	33.73	85.63	33.43	33.43	34.34	34.64	83.28	34.07	34.07	33.43	34.07	33.43	84.75	34.84	34.04	32.65	32.83	81.82	33.74	57.68	33.13	33.13	59.42	33.33	34.04	34.80	34.80	33.74	61.03	34.04	34.43	34.43	33.74	56.52
XP_080255093.1	97.32	97.32	97.32	97.32	97.54	97.54	97.06	93.02	86.90	96.99	96.99	96.99	57.38	33.33	33.33	55.89	30.55	30.55	30.55	96.99	58.39	32.60	94.98	58.39	30.51	97.32	57.05	32.48	33.70	59.06	58.39	33.70	33.70	94.31	86.19	86.19	97.66	97.66	58.39	95.32	57.38	34.47	94.23	85.28	94.98	94.98	94.98	94.98	94.98	88.40	94.98	57.38	57.38	34.43	34.43	100.00	100.00	33.09	57.38	95.32	57.72	94.31	56.71	96.97	96.32	96.32	88.58	96.32	95.32	89.20	95.32	33.70	58.39	57.72	33.70	33.70	97.32	97.32	97.32	97.32	97.32	97.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	32.95	58.05	94.98	57.72	96.99	96.99	32.60	58.05	57.72	32.60	97.32	57.38	94.98	58.05	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	58.05	32.95	94.31	35.32	54.98	97.99	97.99	92.98	57.72	32.60	96.57	92.56	95.65	95.65	95.65	88.80	95.65	56.23	56.23	30.07	97.32	30.80	55.70	95.99	88.40	95.99	55.37	97.38	97.99	58.05	96.99	25.30	34.23	32.97	25.30	57.05	96.32	96.32	35.77	59.06	95.99	32.36	57.38	95.65	88.00	95.65	97.66	57.72	57.38	57.38	57.38	41.67	38.84	96.99	58.39	32.97	96.32	96.32	58.05	59.06	32.60	95.65	95.65	95.65	96.32	96.32	34.07	48.02	58.72	39.46	58.05	34.07	96.66	30.91	55.89	97.32	29.09	18.06	56.90	94.31	94.31	94.31	32.58	57.38	96.66	96.66	96.66	30.18
XP_080255092.1	97.32	97.32	97.75	97.75	97.68	97.68	97.31	94.10	89.12	96.99	96.99	97.18	53.63	33.13	33.13	52.38	30.21	30.21	29.71	97.18	54.47	32.83	95.49	55.03	30.28	97.75	48.17	31.82	33.13	55.03	54.47	33.43	32.35	95.13	88.47	88.47	97.66	97.75	54.47	96.06	53.63	34.06	94.70	87.46	94.98	94.98	94.98	94.98	94.98	89.87	95.21	53.63	53.63	32.55	32.55	100.00	100.00	32.01	53.35	95.77	54.19	94.93	53.07	96.97	96.32	96.32	90.65	96.90	95.32	90.85	95.77	34.65	55.31	53.91	33.43	33.43	97.32	97.32	90.66	97.75	83.65	80.05	95.32	95.32	95.32	95.32	95.32	95.32	95.49	32.81	54.75	95.77	53.91	97.46	97.46	32.52	54.47	53.91	32.83	97.46	53.63	95.77	54.19	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.49	54.75	32.81	94.93	34.46	52.71	94.08	98.03	73.85	54.19	32.52	97.31	94.10	95.65	95.65	95.65	90.85	96.34	52.66	52.66	29.62	97.75	29.28	52.23	95.99	90.52	96.62	52.23	97.54	98.03	54.19	97.46	26.86	28.89	29.70	24.33	53.35	96.32	96.90	35.15	55.31	96.62	32.33	53.91	95.65	90.20	96.34	98.03	53.91	53.63	53.63	53.63	40.15	38.03	97.46	54.75	33.13	96.90	96.90	54.47	55.87	32.52	95.65	95.65	96.34	96.32	96.90	33.43	44.73	54.75	38.52	54.19	33.13	97.18	30.00	52.38	97.46	28.82	18.06	53.22	94.31	94.31	94.37	32.19	54.19	96.66	96.66	96.90	29.12
XP_080216133.1	32.35	32.35	31.40	31.40	34.57	34.57	34.43	33.33	31.84	32.72	32.72	31.71	33.33	73.82	73.82	33.03	57.91	57.91	57.91	31.40	33.03	74.71	31.71	33.03	67.66	31.71	32.72	68.82	76.76	33.33	33.64	75.88	75.88	33.47	30.58	30.58	32.72	31.71	34.25	32.01	33.03	65.15	34.27	31.60	32.72	32.72	32.72	32.72	32.72	31.82	32.01	33.33	33.33	71.98	71.98	33.09	32.01	100.00	34.56	32.32	32.72	31.71	32.93	36.49	32.72	32.72	31.14	31.71	32.72	31.47	31.71	70.59	32.72	33.33	76.18	76.18	32.35	32.35	29.84	31.40	29.15	29.15	32.72	32.72	32.72	32.72	32.72	32.72	32.01	61.66	33.33	31.71	32.72	31.71	31.71	71.76	33.03	33.94	72.35	31.71	33.03	31.71	33.94	32.72	32.72	32.72	32.72	32.72	32.72	32.72	32.72	32.01	33.33	61.66	31.71	68.66	36.00	31.63	31.71	28.53	33.33	76.18	34.02	32.55	32.35	32.35	32.35	31.12	31.40	32.72	32.73	57.14	32.01	59.23	33.23	33.09	31.47	32.01	34.56	33.96	31.71	33.94	31.71	55.02	69.86	73.24	55.02	33.33	32.72	31.71	73.82	33.33	31.71	69.21	32.72	32.72	31.47	31.71	31.71	33.33	34.25	34.25	34.25	32.81	33.69	31.71	33.03	73.53	31.71	32.01	33.33	34.86	76.76	33.09	33.09	32.01	32.72	31.71	77.94	33.04	33.64	32.85	33.33	76.47	31.71	58.51	32.42	32.01	60.00	37.12	32.72	32.72	32.72	32.32	62.12	33.33	32.72	32.72	31.71	58.81
XP_080215990.1	57.05	57.05	53.67	53.67	53.88	53.88	53.67	51.85	49.30	57.05	57.05	53.67	91.34	34.76	34.76	85.15	35.45	35.45	35.03	54.52	90.50	33.84	53.67	88.83	34.36	54.80	88.83	33.74	34.15	91.62	90.50	33.84	33.43	53.01	49.66	49.66	57.72	54.24	89.94	54.80	89.11	34.48	53.23	48.95	58.05	58.05	58.05	58.05	58.05	51.80	54.52	90.78	90.78	34.64	34.64	57.38	53.35	34.56	100.00	53.95	88.83	54.80	84.08	57.83	57.38	57.38	52.10	53.95	57.72	52.13	53.95	35.37	89.39	90.50	35.06	35.06	57.38	57.38	52.57	53.95	50.43	50.43	57.72	57.72	57.72	57.72	57.72	57.72	54.24	33.23	90.50	54.52	86.03	53.67	53.67	33.54	90.22	91.34	33.23	54.24	90.78	54.52	89.66	57.72	57.72	57.72	57.72	57.72	57.72	57.72	57.72	54.24	90.50	33.86	54.80	36.73	77.21	54.69	54.24	47.28	92.18	33.23	53.67	51.85	57.05	57.05	57.05	52.13	53.67	85.99	85.99	33.13	53.95	34.03	83.80	57.72	51.80	54.24	87.99	54.58	53.67	91.90	54.24	27.60	34.13	33.73	27.24	89.39	57.38	53.95	35.56	89.39	53.95	34.85	89.39	57.38	52.13	53.95	54.24	90.22	91.06	91.06	91.06	66.92	63.25	54.24	91.06	33.54	54.24	54.80	92.18	88.83	34.45	57.72	57.72	54.24	58.72	55.08	35.06	73.73	92.18	63.83	91.90	35.67	53.95	34.73	85.15	54.24	33.23	20.80	85.71	57.05	57.05	53.67	34.48	89.66	57.05	57.05	53.67	34.73
XP_080202477.1	95.99	95.99	96.34	96.34	96.14	96.14	95.77	92.62	88.07	95.65	95.65	95.77	54.24	32.83	32.83	52.97	29.91	29.91	29.91	95.77	55.37	32.83	94.08	55.65	30.58	96.06	53.95	31.82	32.52	55.65	55.08	32.83	32.83	93.63	86.78	86.78	95.99	96.06	54.80	94.37	54.52	33.44	93.56	86.41	93.65	93.65	93.65	93.65	93.65	88.89	94.37	54.24	54.24	33.74	33.74	95.32	95.77	32.32	53.95	100.00	54.52	94.37	53.39	95.67	94.98	94.98	89.35	95.49	93.65	89.22	94.08	34.35	55.93	54.52	33.13	33.13	95.99	95.99	89.46	96.34	88.15	88.15	93.98	93.98	93.98	93.98	93.98	93.98	94.65	32.50	55.65	94.93	54.52	95.77	96.34	32.52	55.08	54.52	32.83	96.06	54.24	95.21	54.52	93.98	93.98	93.98	93.98	93.98	93.98	93.98	93.98	94.65	55.65	32.19	93.24	34.77	52.74	92.83	96.62	80.92	54.80	32.52	95.77	92.62	94.98	94.98	94.98	89.54	95.49	53.26	53.26	30.12	96.34	30.12	52.82	94.65	89.22	95.21	52.82	96.49	96.34	54.80	96.62	26.21	33.66	33.13	26.21	53.95	94.98	95.49	34.55	55.65	95.49	32.02	54.52	94.65	88.89	95.21	96.62	54.52	54.24	54.24	54.24	41.15	38.93	96.06	55.37	32.52	95.49	95.77	55.08	56.50	32.52	94.98	94.98	95.49	94.31	94.93	32.83	45.92	55.37	39.43	54.80	32.83	95.77	30.51	52.97	96.06	29.31	18.06	53.82	92.98	92.98	93.52	31.56	55.08	95.32	95.32	95.49	29.31
XP_079403352.1	57.38	57.38	54.52	54.52	55.43	55.43	55.21	53.33	50.70	57.38	57.38	54.52	91.06	32.62	32.62	83.19	35.15	35.15	34.73	55.37	90.50	32.93	54.52	89.11	33.74	55.65	89.39	33.74	33.54	90.50	90.78	32.01	31.63	54.51	51.02	51.02	58.05	55.08	91.90	55.37	88.27	33.54	54.75	50.35	57.72	57.72	57.72	57.72	57.72	52.79	54.80	91.62	91.62	32.53	32.53	57.72	54.19	32.72	88.83	54.52	100.00	55.37	83.80	58.26	57.72	57.72	53.07	54.80	58.05	53.11	54.80	33.23	88.55	90.78	32.93	32.93	57.38	57.38	52.87	54.52	50.72	50.72	57.38	57.38	57.38	57.38	57.38	57.38	54.52	32.92	88.55	55.37	87.71	54.24	54.52	32.32	89.11	89.66	31.71	55.08	89.94	55.08	92.46	57.38	57.38	57.38	57.38	57.38	57.38	57.38	57.38	54.52	88.55	33.23	55.93	35.19	79.20	55.31	55.08	47.28	91.06	32.93	55.60	53.70	57.72	57.72	57.72	53.44	54.80	83.75	83.75	33.13	54.80	33.43	81.84	58.05	52.79	55.08	85.47	55.63	54.80	89.11	55.08	26.62	33.65	31.63	26.28	89.39	57.72	54.80	34.65	89.94	54.80	32.42	89.11	57.38	52.79	54.52	55.08	91.06	90.22	90.22	90.22	66.54	62.90	55.08	90.78	32.01	55.08	55.65	89.94	87.71	33.84	58.05	58.05	55.08	58.72	55.65	33.23	72.46	91.06	62.77	91.06	34.15	54.80	35.03	83.75	55.08	32.34	21.24	83.75	56.71	56.71	53.95	33.54	88.27	57.38	57.38	54.52	34.43
XP_079395065.1	95.99	95.99	96.34	96.34	96.14	96.14	95.77	92.99	87.72	94.98	94.98	95.21	54.80	32.83	32.83	52.97	29.91	29.91	29.91	95.21	55.37	32.83	94.08	55.93	30.28	95.77	54.52	31.82	32.22	55.93	55.93	32.83	32.83	94.01	87.12	87.12	95.65	95.77	55.93	94.93	54.52	33.44	92.80	85.71	93.65	93.65	93.65	93.65	93.65	87.91	93.80	54.52	54.52	33.13	33.13	94.31	94.93	31.71	54.80	94.37	55.37	100.00	53.67	95.24	94.98	94.98	89.35	95.49	94.31	89.87	94.65	34.65	56.50	55.08	33.13	33.13	95.65	95.65	89.16	96.06	87.86	87.86	93.65	93.65	93.65	93.65	93.65	93.65	93.80	33.12	55.65	94.37	55.08	95.21	96.06	32.52	55.37	55.08	32.52	95.77	54.80	95.21	55.37	93.65	93.65	93.65	93.65	93.65	93.65	93.65	93.65	93.80	55.65	32.81	93.80	34.46	53.03	92.52	96.34	80.64	55.08	32.22	95.77	92.99	94.31	94.31	94.31	89.22	94.93	53.26	53.26	30.42	95.77	31.33	52.54	93.98	88.89	94.65	53.39	95.79	95.21	55.37	95.49	26.54	33.17	32.52	26.54	54.52	94.98	95.49	35.15	56.21	94.93	31.42	55.37	93.31	88.56	94.08	96.34	54.80	54.80	54.80	54.80	41.92	39.64	95.77	55.37	32.22	94.65	95.49	55.08	57.06	32.22	93.98	93.98	94.65	93.65	94.37	32.83	46.35	55.65	39.78	55.37	32.52	95.21	30.51	52.97	96.06	29.31	18.06	53.82	92.64	92.64	92.68	32.19	55.08	94.65	94.65	94.93	29.61
XP_079184151.1	56.38	56.38	53.39	53.39	54.65	54.65	54.44	52.59	50.35	56.38	56.38	53.67	84.08	33.13	33.13	93.02	34.44	34.44	34.03	54.24	85.75	32.83	53.67	84.92	33.94	54.52	85.47	33.64	33.43	85.75	84.64	32.83	32.43	53.38	49.66	49.66	57.05	53.95	82.12	53.95	83.80	33.44	53.99	49.30	57.05	57.05	57.05	57.05	57.05	52.13	53.95	84.64	84.64	33.33	33.33	56.71	53.07	32.93	84.08	53.39	83.80	53.67	100.00	57.83	56.71	56.71	52.10	53.67	57.05	51.80	53.67	34.35	83.80	84.08	33.43	33.43	56.38	56.38	51.66	53.39	49.57	49.57	56.71	56.71	56.71	56.71	56.71	56.71	53.67	33.12	84.36	53.95	84.64	53.39	53.39	32.83	84.64	84.36	31.91	53.95	85.75	53.67	83.24	56.71	56.71	56.71	56.71	56.71	56.71	56.71	56.71	53.67	84.36	33.44	54.24	33.85	73.01	54.06	53.95	46.42	85.75	32.52	54.05	52.22	56.38	56.38	56.38	52.13	53.39	94.69	94.69	31.85	53.67	33.04	91.36	56.71	51.80	53.67	83.52	54.58	53.39	84.64	53.67	24.92	31.73	32.13	24.60	85.47	56.38	53.39	34.55	84.36	53.95	32.93	85.47	57.05	52.46	53.95	53.95	86.03	84.64	84.64	84.64	64.26	60.56	53.95	84.64	32.22	53.95	54.80	84.92	84.92	34.35	57.38	57.38	54.24	58.05	54.80	33.74	70.76	85.75	61.35	85.47	34.95	53.67	34.03	92.74	53.95	31.64	21.15	92.74	56.04	56.04	53.11	34.06	84.08	57.38	57.38	54.52	33.73
XP_079167338.1	97.40	97.40	97.40	97.40	99.01	99.01	99.02	98.53	98.53	98.27	98.27	98.27	58.26	36.32	36.32	57.39	35.07	35.07	35.07	97.40	57.83	35.38	96.54	58.26	35.07	97.40	57.83	36.79	37.26	58.70	58.70	37.26	37.26	97.55	98.04	98.04	97.40	97.40	59.57	95.24	57.83	36.89	96.08	96.57	95.24	95.24	95.24	95.24	95.24	96.08	95.24	57.39	57.39	37.74	37.74	96.97	96.97	36.49	57.83	95.67	58.26	95.24	57.83	100.00	99.57	99.57	99.51	99.57	95.67	97.06	95.67	36.32	58.70	58.70	36.79	36.79	97.40	97.40	97.40	97.40	97.40	97.40	95.67	95.67	95.67	95.67	95.67	95.67	95.67	36.89	58.70	95.24	58.70	96.97	97.40	35.85	58.26	58.70	34.91	96.97	58.26	95.24	59.13	95.67	95.67	95.67	95.67	95.67	95.67	95.67	95.67	95.67	58.70	36.89	93.51	37.62	56.52	97.84	97.84	91.34	58.26	35.38	98.04	98.04	97.84	97.84	97.84	98.04	97.84	56.96	56.96	35.38	98.27	35.38	57.39	96.10	96.57	96.10	56.09	98.53	97.84	58.26	96.97	30.53	34.23	36.32	30.53	57.83	96.97	96.97	39.62	59.57	96.54	35.51	58.70	95.24	95.10	95.24	97.40	57.83	57.83	57.83	57.83	46.15	44.74	97.40	59.13	35.85	96.54	96.97	58.26	60.00	35.85	96.10	96.10	96.10	96.54	96.54	37.26	48.02	58.70	45.26	58.70	36.79	97.40	35.55	56.96	98.27	33.18	19.02	57.83	94.81	94.81	94.81	35.92	57.83	97.40	97.40	97.40	35.07
XP_079167337.1	97.32	97.32	97.32	97.32	99.01	99.01	98.53	94.42	88.21	98.66	98.66	98.66	57.72	33.33	33.33	56.23	30.91	30.91	30.91	96.66	58.05	32.60	95.65	58.05	30.51	96.99	57.38	32.48	33.70	58.72	58.05	33.70	33.70	94.31	85.77	85.77	96.99	96.99	58.39	94.65	57.72	34.09	94.23	85.71	94.65	94.65	94.65	94.65	94.65	88.80	94.65	57.05	57.05	34.43	34.43	96.32	96.32	32.72	57.38	94.98	57.72	94.98	56.71	99.57	100.00	100.00	90.94	100.00	95.99	90.00	95.99	33.70	58.72	57.38	33.70	33.70	96.99	96.99	96.99	96.99	96.99	96.99	95.32	95.32	95.32	95.32	95.32	95.32	95.32	32.58	58.39	94.65	57.38	96.32	96.99	32.97	57.72	58.39	32.23	96.99	57.72	94.98	58.05	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	58.39	32.58	94.31	35.69	55.33	97.99	97.99	92.98	58.05	32.60	98.04	93.95	97.99	97.99	97.99	90.40	97.99	55.89	55.89	30.43	98.33	30.80	55.70	96.32	88.40	96.32	55.37	98.25	97.32	58.39	95.99	26.09	34.23	32.97	26.09	57.38	95.65	95.65	35.77	59.06	95.99	32.36	57.72	94.98	88.00	94.98	97.66	57.38	57.72	57.72	57.72	41.67	38.84	96.99	57.72	32.97	95.99	96.32	57.72	58.72	32.60	95.99	95.99	95.99	95.32	95.32	34.07	48.02	58.39	39.46	58.39	34.07	97.66	30.55	55.56	98.33	29.45	18.50	56.57	94.31	94.31	94.31	32.20	57.72	97.66	97.66	97.66	30.91
XP_079167336.1	97.32	97.32	97.32	97.32	99.01	99.01	98.53	94.42	88.21	98.66	98.66	98.66	57.72	33.33	33.33	56.23	30.91	30.91	30.91	96.66	58.05	32.60	95.65	58.05	30.51	96.99	57.38	32.48	33.70	58.72	58.05	33.70	33.70	94.31	85.77	85.77	96.99	96.99	58.39	94.65	57.72	34.09	94.23	85.71	94.65	94.65	94.65	94.65	94.65	88.80	94.65	57.05	57.05	34.43	34.43	96.32	96.32	32.72	57.38	94.98	57.72	94.98	56.71	99.57	100.00	100.00	90.94	100.00	95.99	90.00	95.99	33.70	58.72	57.38	33.70	33.70	96.99	96.99	96.99	96.99	96.99	96.99	95.32	95.32	95.32	95.32	95.32	95.32	95.32	32.58	58.39	94.65	57.38	96.32	96.99	32.97	57.72	58.39	32.23	96.99	57.72	94.98	58.05	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	58.39	32.58	94.31	35.69	55.33	97.99	97.99	92.98	58.05	32.60	98.04	93.95	97.99	97.99	97.99	90.40	97.99	55.89	55.89	30.43	98.33	30.80	55.70	96.32	88.40	96.32	55.37	98.25	97.32	58.39	95.99	26.09	34.23	32.97	26.09	57.38	95.65	95.65	35.77	59.06	95.99	32.36	57.72	94.98	88.00	94.98	97.66	57.38	57.72	57.72	57.72	41.67	38.84	96.99	57.72	32.97	95.99	96.32	57.72	58.72	32.60	95.99	95.99	95.99	95.32	95.32	34.07	48.02	58.39	39.46	58.39	34.07	97.66	30.55	55.56	98.33	29.45	18.50	56.57	94.31	94.31	94.31	32.20	57.72	97.66	97.66	97.66	30.91
XP_079167335.1	89.37	89.37	91.29	91.29	98.84	98.84	98.46	95.20	90.53	90.16	90.16	91.61	52.75	31.96	31.96	51.62	31.27	31.27	31.27	90.65	52.75	32.30	90.00	53.40	30.45	91.29	52.43	32.19	32.65	52.75	53.07	32.65	32.65	95.13	88.66	88.66	89.37	90.97	53.07	89.35	52.10	33.69	94.70	88.15	87.80	87.80	87.80	87.80	87.80	95.42	89.35	52.10	52.10	32.99	32.99	88.58	90.65	31.14	52.10	89.35	53.07	89.35	52.10	99.51	90.94	90.94	100.00	92.58	88.98	97.06	90.65	34.02	54.05	53.07	32.30	32.30	88.98	88.98	82.23	90.97	81.06	81.06	87.80	87.80	87.80	87.80	87.80	87.80	89.35	32.98	53.40	89.68	52.75	90.65	91.29	31.96	53.07	53.07	32.30	90.65	53.07	89.35	52.75	87.80	87.80	87.80	87.80	87.80	87.80	87.80	87.80	89.35	53.40	32.98	88.71	33.22	52.65	85.87	91.29	72.76	52.75	31.62	98.46	95.20	89.37	89.37	89.37	98.04	91.29	51.62	51.62	32.19	91.94	31.16	51.46	88.19	96.08	90.32	51.46	98.25	91.61	52.43	90.97	28.62	34.15	32.30	28.62	52.43	88.98	90.97	34.93	53.72	90.32	32.65	53.40	87.01	95.75	89.35	91.29	52.75	52.10	52.10	52.10	42.74	41.41	91.29	53.07	32.65	90.32	90.65	52.75	54.37	31.96	88.19	88.19	90.32	88.98	90.97	31.96	45.49	52.75	41.80	52.75	31.62	91.94	31.96	51.62	91.94	30.93	17.65	52.27	87.01	87.01	88.39	31.91	52.75	89.76	89.76	91.29	30.58
XP_079167334.1	97.32	97.32	97.75	97.75	98.84	98.84	98.46	95.20	90.18	98.66	98.66	98.59	54.52	33.13	33.13	53.26	30.51	30.51	30.51	96.90	54.80	32.83	96.06	55.37	30.28	97.46	54.24	31.82	33.13	55.37	54.80	33.43	33.43	95.13	88.14	88.14	96.99	97.18	55.08	95.49	54.52	33.75	94.70	87.80	94.65	94.65	94.65	94.65	94.65	90.20	94.93	53.95	53.95	33.74	33.74	96.32	96.90	31.71	53.95	95.49	54.80	95.49	53.67	99.57	100.00	100.00	92.58	100.00	95.99	91.50	96.34	34.65	56.21	54.24	33.43	33.43	96.99	96.99	90.36	97.46	89.02	89.02	95.32	95.32	95.32	95.32	95.32	95.32	95.49	32.50	55.65	95.49	54.24	96.90	97.46	32.83	54.80	55.08	32.52	97.18	54.52	95.77	54.80	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.32	95.49	55.65	32.50	94.93	34.77	53.60	94.08	98.03	82.08	55.08	32.52	98.46	95.20	97.99	97.99	97.99	92.16	98.31	52.97	52.97	30.72	98.59	30.42	52.82	96.32	90.52	96.90	52.82	98.25	97.46	55.08	96.62	27.51	34.15	33.13	27.51	54.24	95.65	96.34	35.15	55.93	96.62	32.33	54.80	94.98	90.20	95.77	98.03	54.24	54.52	54.52	54.52	40.77	38.57	97.46	54.80	33.13	96.62	96.90	54.80	56.21	32.52	95.99	95.99	96.62	95.32	96.06	33.43	45.49	55.08	39.07	55.08	33.13	98.03	30.51	52.69	98.31	29.91	18.50	53.54	94.31	94.31	94.37	31.87	55.08	97.66	97.66	97.75	30.21
